EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
28,3333;0;0,566666667;0,02;8;10;4;30;8;;;;;;;;;;;;
28,4722;0;0,569444444;0,02;4;30;8;30;8;;;;;;;;;;;;
28,4722;0;0,569444444;0,02;4;50;8;30;8;;;;;;;;;;;;
28,4722;0;0,569444444;0,02;8;10;12;50;12;;;;;;;;;;;;
28,4722;0;0,569444444;0,03;4;10;4;30;4;;;;;;;;;;;;
28,4722;0;0,569444444;0,03;8;10;12;50;12;;;;;;;;;;;;
28,4722;0;0,569444444;0,03;12;30;8;10;4;;;;;;;;;;;;
28,4722;0;0,569444444;0,03;12;50;8;10;4;;;;;;;;;;;;
28,4722;0;0,569444444;0,04;8;10;12;50;12;;;;;;;;;;;;
28,6111;0;0,572222222;0,03;8;30;12;10;4;;;;;;;;;;;;
28,6111;0;0,572222222;0,03;8;50;12;10;4;;;;;;;;;;;;
28,6111;0;0,572222222;0,03;12;10;8;10;4;;;;;;;;;;;;
28,75;0;0,575;0,02;8;10;8;50;12;;;;;;;;;;;;
28,75;0;0,575;0,03;4;30;12;30;8;;;;;;;;;;;;
28,75;0;0,575;0,03;4;50;8;50;8;;;;;;;;;;;;
28,75;0;0,575;0,03;4;50;12;30;8;;;;;;;;;;;;
28,75;0;0,575;0,03;8;10;8;50;12;;;;;;;;;;;;
28,75;0;0,575;0,04;8;10;8;50;12;;;;;;;;;;;;
28,8889;0;0,577777778;0,03;4;30;8;50;8;;;;;;;;;;;;
28,8889;0;0,577777778;0,03;8;10;4;30;8;;;;;;;;;;;;
29,0278;0;0,580555556;0,02;8;10;12;30;12;;;;;;;;;;;;
29,0278;0;0,580555556;0,03;4;30;8;30;8;;;;;;;;;;;;
29,0278;0;0,580555556;0,03;4;50;8;30;8;;;;;;;;;;;;
29,0278;0;0,580555556;0,03;8;10;12;30;12;;;;;;;;;;;;
29,0278;0;0,580555556;0,03;8;30;8;10;4;;;;;;;;;;;;
29,0278;0;0,580555556;0,03;8;50;8;10;4;;;;;;;;;;;;
29,0278;0;0,580555556;0,04;8;10;12;30;12;;;;;;;;;;;;
29,1667;0;0,583333333;0,03;8;10;12;10;4;;;;;;;;;;;;
29,3056;0;0,586111111;0,04;4;30;12;50;8;;;;;;;;;;;;
29,3056;0;0,586111111;0,04;4;50;12;50;8;;;;;;;;;;;;
29,4444;0;0,588888889;0,04;8;10;4;30;8;;;;;;;;;;;;
29,5833;0;0,591666667;0,03;8;10;8;10;4;;;;;;;;;;;;
29,7222;0;0,594444444;0,02;8;10;8;30;12;;;;;;;;;;;;
29,7222;0;0,594444444;0,03;8;10;8;30;12;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;4;30;8;50;8;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;4;30;12;30;8;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;4;50;8;50;8;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;4;50;12;30;8;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;8;10;8;30;12;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;12;30;12;10;4;;;;;;;;;;;;
29,7222;0;0,594444444;0,04;12;50;12;10;4;;;;;;;;;;;;
29,8611;0;0,597222222;0,04;4;30;8;30;8;;;;;;;;;;;;
29,8611;0;0,597222222;0,04;4;50;8;30;8;;;;;;;;;;;;
30;0;0,6;0,02;8;50;4;50;12;;;;;;;;;;;;
30;0;0,6;0,02;12;50;4;30;12;;;;;;;;;;;;
30;0;0,6;0,03;8;50;4;50;12;;;;;;;;;;;;
30;0;0,6;0,03;12;50;4;30;12;;;;;;;;;;;;
30;0;0,6;0,04;4;10;4;50;4;;;;;;;;;;;;
30;0;0,6;0,04;12;50;4;30;12;;;;;;;;;;;;
30,1389;0;0,602777778;0,02;12;30;4;30;12;;;;;;;;;;;;
30,1389;0;0,602777778;0,03;12;30;4;30;12;;;;;;;;;;;;
30,1389;0;0,602777778;0,04;8;50;4;50;12;;;;;;;;;;;;
30,1389;0;0,602777778;0,04;12;10;12;10;4;;;;;;;;;;;;
30,1389;0;0,602777778;0,04;12;30;4;30;12;;;;;;;;;;;;
30,2778;0;0,605555556;0,02;8;30;4;50;12;;;;;;;;;;;;
30,2778;0;0,605555556;0,03;8;30;4;50;12;;;;;;;;;;;;
30,2778;0;0,605555556;0,04;4;10;4;30;4;;;;;;;;;;;;
30,2778;0;0,605555556;0,04;12;30;8;10;4;;;;;;;;;;;;
30,2778;0;0,605555556;0,04;12;50;8;10;4;;;;;;;;;;;;
30,4167;0;0,608333333;0,04;8;30;4;50;12;;;;;;;;;;;;
30,6944;0;0,613888889;0,02;4;30;4;50;8;;;;;;;;;;;;
30,6944;0;0,613888889;0,02;4;50;4;50;8;;;;;;;;;;;;
30,8333;0;0,616666667;0,04;12;10;8;10;4;;;;;;;;;;;;
30,9722;0;0,619444444;0,02;4;10;12;50;8;;;;;;;;;;;;
31,25;0;0,625;0,02;4;10;8;50;8;;;;;;;;;;;;
31,25;0;0,625;0,02;4;10;12;30;8;;;;;;;;;;;;
31,3889;0;0,627777778;0,03;4;30;4;50;8;;;;;;;;;;;;
31,3889;0;0,627777778;0,03;4;50;4;50;8;;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;10;12;10;4;;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;30;12;10;4;;;;;;;;;;;;
31,3889;0;0,627777778;0,04;8;50;12;10;4;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;4;30;4;30;8;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;4;30;12;10;4;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;4;50;4;30;8;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;4;50;12;10;4;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;8;30;4;30;12;;;;;;;;;;;;
31,5278;0;0,630555556;0,02;8;50;4;30;12;;;;;;;;;;;;
31,5278;0;0,630555556;0,03;8;30;4;30;12;;;;;;;;;;;;
31,5278;0;0,630555556;0,03;8;50;4;30;12;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;4;10;8;30;8;;;;;;;;;;;;
31,6667;0;0,633333333;0,02;4;10;12;10;4;;;;;;;;;;;;
