EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
35,4167;0;0,708333333;0,04;4;50;12;30;8;;;;;;;;;;;
35,4167;0;0,708333333;0,04;12;50;4;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,02;8;10;4;10;4;;;;;;;;;;;
35,5556;0;0,711111111;0,02;8;10;8;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,02;8;10;12;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,02;8;30;4;10;4;;;;;;;;;;;
35,5556;0;0,711111111;0,02;12;30;4;30;12;;;;;;;;;;;
35,5556;0;0,711111111;0,02;8;50;4;10;4;;;;;;;;;;;
35,5556;0;0,711111111;0,02;12;50;4;30;12;;;;;;;;;;;
35,5556;0;0,711111111;0,03;8;10;8;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,03;8;10;12;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,03;12;30;4;30;12;;;;;;;;;;;
35,5556;0;0,711111111;0,03;12;50;4;30;12;;;;;;;;;;;
35,5556;0;0,711111111;0,04;8;10;8;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,04;8;10;12;50;12;;;;;;;;;;;
35,5556;0;0,711111111;0,04;12;30;4;30;12;;;;;;;;;;;
35,5556;0;0,711111111;0,04;12;50;4;30;12;;;;;;;;;;;
35,6944;0;0,713888889;0,02;8;10;8;30;12;;;;;;;;;;;
35,6944;0;0,713888889;0,02;8;10;12;30;12;;;;;;;;;;;
